,Service Request#,Incident Date,BLDG#,Street,Boro,Zip,Cross Streets,Cleaning Methods,San Dist,CB,Precinct,Council Dist,City Owned,xcoord,ycoord,On Roll Down Gate,Cherry Picker,Above 3rd Floor,LM,lon,lat,Factor,cluster
0,G51871,4/6/2010,1324,HANCOCK STREET,BROOKLYN,11237,KNICKERBOCKER AVENUE / IRVING AVENUE,,304,4,83,37,False,1009468,192143,No,No,No,False,-73.9090606217,40.6940289534,1.02530054517,12
1,G84575,3/20/2012,120,AVENUE M,BROOKLYN,11230,MC DONALD AVENUE / EAST    2 STREET,,312,12,66,44,False,991516,163791,No,No,No,False,-73.9738283999,40.6162418704,1.25365544147,3
2,G137055,8/18/2015,3305,3 AVENUE,BRONX,10456,EAST 164 STREET / WEIHER COURT,,203,3,42,16,False,1009624,240185,No,No,No,False,-73.9083167391,40.8258913839,1.12116965616,17
3,G137126,8/20/2015,1704,BATH AVENUE,BROOKLYN,11214,17 AVENUE / BAY   16 STREET,,311,11,62,43,False,981924,159660,No,No,No,False,-74.0083766591,40.6049057985,1.11318056357,3
4,G137328,8/27/2015,709,53 STREET,BROOKLYN,11220,7 AVENUE / 8 AVENUE,,307,7,72,38,False,982275,172705,No,No,No,False,-74.0071164141,40.6407116819,1.2659719592,10
5,G137329,8/27/2015,464,53 STREET,BROOKLYN,11220,4 AVENUE / 5 AVENUE,,307,7,72,38,False,980687,173762,Yes,No,No,False,-74.0128389294,40.6436124235,1.2659719592,10
6,G137330,8/27/2015,466,53 STREET,BROOKLYN,11220,4 AVENUE / 5 AVENUE,,307,7,72,38,False,980718,173737,No,No,No,False,-74.0127272108,40.6435438163,1.2659719592,10
7,G137336,8/27/2015,262,WEST   15 STREET,MANHATTAN,10011,7 AVENUE / 8 AVENUE,,104,4,10,3,False,983746,208964,No,No,No,False,-74.0018187494,40.7402344778,0.991679780554,6
8,G137339,8/27/2015,165,MERCER STREET,MANHATTAN,10012,PRINCE STREET / WEST HOUSTON STREET,,102,2,1,1,False,984764,203606,No,No,No,False,-73.9981455736,40.7255280837,0.976034474248,6
9,G137340,8/27/2015,10,LIBERTY STREET,MANHATTAN,10005,GOLD STREET / WILLIAM STREET,,101,1,1,1,False,981978,196988,No,No,No,False,-74.008194764,40.7073629825,0.765987915111,6
10,G137341,8/27/2015,837,EAST   49 STREET,BROOKLYN,11203,AVENUE D / FOSTER AVENUE,,317,17,67,45,False,1003690,172811,No,No,No,False,-73.9299525756,40.6409815152,1.70936659751,26
11,G137343,8/27/2015,936,SENECA AVENUE,QUEENS,11385,HANCOCK STREET / WEIRFIELD STREET,,405,5,104,34,False,1011084,194277,No,No,Yes,False,-73.903224619,40.6998815311,1.20172633969,12
12,G137345,8/27/2015,442,GRAND STREET,BROOKLYN,11211,KEAP STREET / GRAND ST EXTENSION,,301,1,90,34,False,997291,198347,No,No,No,False,-73.9529604365,40.7110837964,1.25565271462,8
13,G137347,8/27/2015,883,LEXINGTON AVENUE,BROOKLYN,11221,PATCHEN AVENUE / BEND,,303,3,81,41,False,1004919,190976,Yes,No,No,False,-73.9254684775,40.6908376024,1.33720803473,28
14,G137354,8/27/2015,43,ESSEX STREET,MANHATTAN,10002,HESTER STREET / GRAND STREET,,103,3,7,1,False,987119,200269,Yes,No,No,False,-73.9896505481,40.7163683735,1.19906330883,6
15,G137356,8/27/2015,504,GRAND STREET,MANHATTAN,10002,EAST BROADWAY / COLUMBIA STREET,,103,3,7,1,False,989287,199791,Yes,No,No,False,-73.9818301978,40.7150554092,1.19906330883,6
16,G137357,8/27/2015,92,RIVINGTON STREET,MANHATTAN,10002,ORCHARD STREET / LUDLOW STREET,,103,3,7,1,False,987394,201719,Yes,No,No,False,-73.988657853,40.7203481816,1.19906330883,6
17,G137363,8/28/2015,2071,BATHGATE AVENUE,BRONX,10457,EAST  179 STREET / EAST  180 STREET,,206,6,48,15,False,1013200,249193,No,No,No,False,-73.8953567941,40.850604714,1.14879860133,5
18,G137364,8/28/2015,176,BORINQUEN PLACE,BROOKLYN,11211,KEAP STREET / SOUTH    1 STREET,,301,1,90,34,False,997229,198141,Yes,No,No,False,-73.9531844708,40.7105184666,1.25565271462,8
19,G137366,8/28/2015,50,BOWERY,MANHATTAN,10013,MANHATTAN BRIDGE / CANAL STREET,,103,3,5,1,False,985129,200132,No,No,No,False,-73.996829168,40.7159927628,1.04127873033,6
20,G137369,8/28/2015,94,JOHN STREET,STATEN ISLAND,10302,RICHMOND TERRACE / BEND,,501,1,121,49,False,944417,171226,No,No,No,False,-74.1435193031,40.6365627974,0.795281254579,27
21,G137370,8/28/2015,912,MANHATTAN AVENUE,BROOKLYN,11222,GREENPOINT AVENUE / KENT STREET,,301,1,94,33,False,996994,205462,No,No,No,False,-73.954018259,40.7306131853,0.936089011338,8
22,G137371,8/28/2015,6719,13 AVENUE,BROOKLYN,11219,67 STREET / OVINGTON AVENUE,,310,10,68,43,False,983450,166718,Yes,No,No,False,-74.0028818884,40.6242788191,1.1011969247,3
23,G137374,8/28/2015,4322,8 AVENUE,BROOKLYN,11232,43 STREET / 44 STREET,,307,7,72,38,False,984168,174172,Yes,No,No,False,-74.0002954841,40.6447385015,0.999335994279,10
24,G137383,8/28/2015,768,40 STREET,BROOKLYN,11232,7 AVENUE / 8 AVENUE,,307,7,72,38,False,984701,174931,Yes,No,No,False,-73.9983747865,40.6468217816,0.999335994279,10
25,G137387,8/29/2015,47-27,21 STREET,QUEENS,11101,JACKSON AVENUE / 47 ROAD,,402,2,108,26,False,998943,210185,No,No,No,False,-73.9469757409,40.7435736271,1.33487788273,8
26,G137389,8/29/2015,1734,AMSTERDAM AVENUE,MANHATTAN,10031,WEST  145 STREET / WEST  146 STREET,,109,9,30,7,False,998792,240187,Yes,No,No,False,-73.9474557257,40.825921349,0.941747951917,17
27,G137390,8/29/2015,3426,BROADWAY,MANHATTAN,10031,WEST  139 STREET / WEST  140 STREET,,109,9,30,7,False,997342,239000,No,No,No,False,-73.9526972923,40.8226656396,0.941747951917,17
28,G137391,8/29/2015,3656,BROADWAY,MANHATTAN,10031,WEST  150 STREET / WEST  151 STREET,,109,9,30,7,False,998815,241659,No,No,No,False,-73.9473694247,40.82996153,0.941747951917,17
29,G137392,8/29/2015,550,WEST  153 STREET,MANHATTAN,10031,AMSTERDAM AVENUE / BROADWAY,,109,9,30,7,False,999068,242114,No,No,No,False,-73.9464542053,40.8312099534,0.941747951917,17
30,G137395,8/30/2015,423,HUMBOLDT STREET,BROOKLYN,11211,JACKSON STREET / WITHERS STREET,,301,1,94,34,False,999975,200486,Yes,No,No,False,-73.9432741154,40.7169504765,1.25565271462,8
31,G137399,8/30/2015,1120,BUSHWICK AVENUE,BROOKLYN,11221,WOODBINE STREET / MADISON STREET,,304,4,83,34,False,1006773,190502,No,No,No,False,-73.9187846218,40.6895320581,1.33720803473,28
32,G137401,8/31/2015,1054,BUSHWICK AVENUE,BROOKLYN,11221,GATES AVENUE / PALMETTO STREET,,304,4,83,34,False,1006224,190816,No,No,No,False,-73.9207632281,40.6903952956,1.33720803473,28
33,G137406,8/31/2015,175,WEST   94 STREET,MANHATTAN,10025,COLUMBUS AVENUE / AMSTERDAM AVENUE,,107,7,24,6,False,992406,228133,No,No,No,False,-73.9705447558,40.7928446677,1.00399629829,13
34,G137408,8/31/2015,2011,EMMONS AVENUE,BROOKLYN,11235,OCEAN AVENUE / EAST   21 STREET,,315,15,61,48,False,998753,152075,No,No,No,False,-73.9477864142,40.5840749406,1.1254970813,11
35,G137410,8/31/2015,1490,BEDFORD AVENUE,BROOKLYN,11216,STERLING PLACE / ST JOHNS PLACE,,308,8,77,35,False,996795,184252,No,No,No,False,-73.954775782,40.6723969975,1.27096514207,21
36,G137416,8/31/2015,59,VAN DAM STREET,BROOKLYN,11222,NASSAU AVENUE / BRIDGEWATER STREET,,301,1,94,33,False,1001602,204110,Yes,No,No,False,-73.937395584,40.7268944369,0.936089011338,8
37,G137417,8/31/2015,221,SEAMAN AVENUE,MANHATTAN,10034,WEST  214 STREET / WEST  215 STREET,,112,12,34,7,False,1006724,256553,No,No,No,False,-73.9187403694,40.8708245482,0.903466883294,17
38,G137418,8/31/2015,92-04,DITMARS BOULEVARD,QUEENS,11369,92 STREET / 93 STREET,,403,3,115,21,False,1017955,219804,No,No,No,False,-73.8783168699,40.7699232799,0.939084921056,25
39,G137420,8/31/2015,18,GROVE STREET,MANHATTAN,10014,GROVE COURT / BEDFORD STREET,,102,2,6,3,False,982732,206065,No,No,No,False,-74.005477246,40.7322773229,0.896809306142,6
40,G137421,8/31/2015,640,RHINELANDER AVENUE,BRONX,10462,UNIONPORT ROAD / AMETHYST STREET,,211,11,49,15,False,1020584,247843,No,No,No,False,-73.8686738027,40.8468720685,1.0179772103,20
41,G137423,8/31/2015,405,5 AVENUE,BROOKLYN,11215,7 STREET / 8 STREET,,306,6,78,39,False,988365,183409,Yes,No,No,False,-73.9851661048,40.6700910834,1.0682419178,23
42,G137425,8/31/2015,2286,FLATBUSH AVENUE,BROOKLYN,11234,FILLMORE AVENUE / EAST   49 STREET,,318,18,63,46,False,1004342,162924,Yes,No,No,False,-73.9276326809,40.6138423339,1.31024484726,24
43,G137427,8/31/2015,1142,BEDFORD AVENUE,BROOKLYN,11216,GATES AVENUE / MONROE STREET,,303,3,79,36,False,996846,188932,No,No,Yes,False,-73.9545831818,40.6852424638,1.27096514207,21
44,G137428,8/31/2015,214,CLIFTON PLACE,BROOKLYN,11216,FRANKLIN AVENUE / BEDFORD AVENUE,,303,3,79,36,False,996499,190077,Yes,No,No,False,-73.9558322619,40.6883857131,1.27096514207,21
45,G137431,8/31/2015,4306,8 AVENUE,BROOKLYN,11232,43 STREET / 44 STREET,,307,7,72,38,False,984234,174272,Yes,No,No,False,-74.0000576557,40.6450129803,0.999335994279,10
46,G137433,8/31/2015,239,LENOX AVENUE,MANHATTAN,10027,WEST  121 STREET / WEST  122 STREET,,110,10,28,9,False,998833,232892,Yes,No,No,False,-73.9473234322,40.8058985533,1.08954616468,13
47,G137439,8/31/2015,92-21,215 PLACE,QUEENS,11428,92 AVENUE / 92 ROAD,,413,13,105,23,False,1055543,202240,Yes,No,No,False,-73.7428019348,40.721491484,0.882495515266,1
48,G137440,8/31/2015,92-25,215 PLACE,QUEENS,11428,92 AVENUE / 92 ROAD,,413,13,105,23,False,1055568,202209,Yes,No,No,False,-73.7427120733,40.7214061953,0.882495515266,1
49,G137441,8/31/2015,92-27,215 PLACE,QUEENS,11428,92 AVENUE / 92 ROAD,Paint White ; Powerwash; ,413,13,105,23,False,1055581,202193,Yes,No,No,False,-73.7426653442,40.7213621746,0.882495515266,1
50,G137449,9/1/2015,55,EAST HOUSTON STREET,MANHATTAN,10012,MULBERRY STREET / MOTT STREET,,102,2,5,1,False,985779,203229,No,No,No,False,-73.9944837082,40.724493193,0.976034474248,6
51,G137450,9/1/2015,1094,STANLEY AVENUE,BROOKLYN,11208,EUCLID AVENUE / PINE STREET,,305,5,75,42,False,1020534,181571,No,No,No,False,-73.8692121623,40.664972791,1.48999943036,4
52,G137451,9/1/2015,2118,VALENTINE AVENUE,BRONX,10457,EAST  180 STREET / EAST  181 STREET,,205,5,46,15,False,1012127,250244,No,No,No,False,-73.8992309061,40.8534928481,1.14879860133,5
53,G137453,9/1/2015,84-02,51 AVENUE,QUEENS,11373,POYER STREET / REEDER STREET,,404,4,110,25,False,1017788,208233,No,No,No,False,-73.8789774934,40.7381644889,1.12017101958,25
54,G137457,9/1/2015,646,55 STREET,BROOKLYN,11220,6 AVENUE / 7 AVENUE,,307,7,72,38,False,981463,172481,No,No,No,False,-74.0100421586,40.6400966316,1.2659719592,10
55,G137458,9/1/2015,648,55 STREET,BROOKLYN,11220,6 AVENUE / 7 AVENUE,,307,7,72,38,False,981482,172467,No,No,No,False,-74.0099736918,40.6400582105,1.2659719592,10
56,G137459,9/1/2015,2241,SOUTHERN BOULEVARD,BRONX,10460,EAST  182 STREET / CROTONA PARKWAY,,206,6,48,15,False,1016498,248666,No,No,No,False,-73.8834383304,40.8491468268,1.12250117159,20
57,G137460,9/1/2015,5502,5 AVENUE,BROOKLYN,11220,55 STREET / 56 STREET,,307,7,72,38,False,980483,173307,Yes,No,No,False,-74.0135737698,40.6423634619,1.2659719592,10
58,G137461,9/1/2015,6014,7 AVENUE,BROOKLYN,11220,60 STREET / 61 STREET,,307,7,72,38,False,980827,171223,No,No,No,False,-74.0123331647,40.6366434673,1.2659719592,10
59,G137463,9/1/2015,1183,72 STREET,BROOKLYN,11228,11 AVENUE / 12 AVENUE,,310,10,68,43,False,982083,166472,No,No,No,False,-74.0078062362,40.6236033717,0.981027657112,3
60,G137465,9/1/2015,121-31,234 STREET,QUEENS,11422,121 AVENUE / 128 AVENUE,,413,13,105,31,False,1058733,188536,No,No,No,False,-73.7314452657,40.6838511133,1.11251480586,1
61,G137473,9/1/2015,36-01,43 AVENUE,QUEENS,11101,36 STREET / 37 STREET,,402,2,108,26,False,1004146,211226,No,No,No,False,-73.9281960254,40.7464207354,1.33487788273,2
62,G137474,9/1/2015,125,7 AVENUE,MANHATTAN,10011,WEST   17 STREET / WEST   18 STREET,,104,4,13,3,False,984849,209071,Yes,No,No,False,-73.9978384212,40.7405281602,0.991679780554,6
63,G137475,9/2/2015,3300,CONEY ISLAND AVENUE,BROOKLYN,11235,BRIGHTWATER COURT / BOARDWALK EAST,,313,13,60,48,False,995348,148960,No,No,No,False,-73.9600501809,40.5755297982,1.1254970813,11
64,G137481,9/2/2015,23-71,33 STREET,QUEENS,11105,23 ROAD / 24 AVENUE,,401,1,114,22,False,1008230,220516,No,No,No,False,-73.9134238833,40.7719092632,0.872842028396,2
65,G137483,9/2/2015,46,WEST  125 STREET,MANHATTAN,10027,5 AVENUE / LENOX AVENUE,,110,10,28,9,False,999723,233251,Yes,No,No,False,-73.9441077565,40.8068823953,1.08954616468,13
66,G137486,9/2/2015,2315,AVENUE X,BROOKLYN,11235,EAST   23 STREET / EAST   24 STREET,,315,15,61,48,False,999066,155439,Yes,No,No,False,-73.9466521786,40.5933079297,1.1254970813,11
67,G137487,9/2/2015,1217,BEDFORD AVENUE,BROOKLYN,11216,HANCOCK STREET / HALSEY STREET,,303,3,79,36,False,997214,187622,No,No,No,False,-73.9532588218,40.6816462816,1.27096514207,21
68,G137488,9/2/2015,16,HOWARD AVENUE,BROOKLYN,11221,MONROE STREET / MADISON STREET,,303,3,81,41,False,1006067,190027,No,No,No,False,-73.9213319144,40.6882300613,1.33720803473,28
69,G137490,9/2/2015,284A,9 STREET,BROOKLYN,11215,4 AVENUE / 5 AVENUE,,306,6,78,39,False,987671,183214,Yes,No,No,False,-73.987667959,40.6695561474,1.0682419178,23
70,G137493,9/2/2015,3163,BROADWAY,MANHATTAN,10027,LA SALLE STREET / TIEMANN PLACE,,109,9,26,9,False,995517,236210,Yes,No,No,False,-73.9592958833,40.815010392,1.08954616468,13
71,G137494,9/2/2015,445,WEST  125 STREET,MANHATTAN,10027,BEND / AMSTERDAM AVENUE,,109,9,26,7,False,996626,235386,Yes,No,No,False,-73.9552909362,40.8127472583,1.08954616468,13
72,G137500,9/3/2015,134,BEACH  129 STREET,QUEENS,11694,OCEAN PROMENADE / ROCKAWAY BEACH BOULEVARD,,414,14,100,32,False,1026847,148511,No,No,No,False,-73.8466652166,40.5742019957,0.801938831731,19
73,G137501,9/3/2015,546,THIRD AVENUE,BROOKLYN,11215,13 STREET / 14 STREET,,306,6,78,39,False,986016,182911,No,No,Yes,False,-73.9936339921,40.6687249648,1.0682419178,23
74,G137502,9/3/2015,225,WEST  105 STREET,MANHATTAN,10025,AMSTERDAM AVENUE / BROADWAY,,107,7,24,7,False,993394,230862,No,No,Yes,False,-73.9669728963,40.800334064,1.00399629829,13
75,G137508,9/3/2015,920,FOURTH AVENUE,BROOKLYN,11232,34 STREET / 35 STREET,,307,7,72,38,False,983246,178097,Yes,No,No,False,-74.0036184632,40.6555117176,0.999335994279,10
76,G137509,9/3/2015,957,4 AVENUE,BROOKLYN,11232,36 STREET / 37 STREET,,307,7,72,38,False,982976,177440,No,No,No,False,-74.0045914318,40.6537083615,0.999335994279,10
77,G137513,9/3/2015,457,WEST  125 STREET,MANHATTAN,10027,BEND / AMSTERDAM AVENUE,,109,9,26,7,False,996556,235487,Yes,No,No,False,-73.9555436303,40.8130245729,1.08954616468,13
78,G137514,9/3/2015,537,WEST  125 STREET,MANHATTAN,10027,AMSTERDAM AVENUE / OLD BROADWAY,,109,9,26,7,False,996156,236091,Yes,No,No,False,-73.9569875893,40.8146829322,1.08954616468,13
79,G137518,9/3/2015,90-06,PITKIN AVENUE,QUEENS,11417,LINDEN BOULEVARD / WHITELAW STREET,,410,10,106,32,False,1026889,184522,No,No,No,False,-73.8462865644,40.6730442908,1.02064024116,4
80,G137519,9/3/2015,876,GERARD AVENUE,BRONX,10452,EAST  161 STREET / EAST  162 STREET,,204,4,44,17,False,1005199,240849,No,No,No,False,-73.9243034026,40.8277254774,1.05193085378,17
81,G137520,9/3/2015,744,MCDONALD AVENUE,BROOKLYN,11218,CORTELYOU ROAD / DITMAS AVENUE,,312,12,66,39,False,990200,171087,No,No,No,False,-73.9785621038,40.6362688393,1.14080950875,0
82,G137523,9/3/2015,262,PACIFIC STREET,BROOKLYN,11201,BOERUM PLACE / SMITH STREET,,302,2,84,33,False,986969,189946,No,No,No,False,-73.9901958166,40.6880342065,1.19673315683,23
83,G137524,9/3/2015,164,WEST  123 STREET,MANHATTAN,10027,LENOX AVENUE / ADAM CLAYTON POWELL JR BOULEVARD,,110,10,28,9,False,998414,233377,No,No,No,False,-73.9488359163,40.8072304259,1.08954616468,13
84,G137527,9/3/2015,340,MAUJER STREET,BROOKLYN,11206,WATERBURY STREET / MORGAN AVENUE,,301,1,90,34,False,1002180,198803,No,No,No,False,-73.935324351,40.7123268508,1.36050955476,8
85,G137528,9/3/2015,218,WEST   10 STREET,MANHATTAN,10014,BLEECKER STREET / HUDSON STREET,,102,2,6,3,False,982950,206618,No,No,No,False,-74.0046907655,40.7337952067,0.896809306142,6
86,G137529,9/3/2015,337,BLEECKER STREET,MANHATTAN,10014,CHRISTOPHER STREET / WEST   10 STREET,,102,2,6,3,False,983074,206574,No,No,No,False,-74.0042433309,40.7336744549,0.896809306142,6
87,G137530,9/3/2015,3,CHARLES STREET,MANHATTAN,10014,GREENWICH AVENUE / WAVERLY PLACE,,102,2,6,3,False,984071,207187,No,No,No,False,-74.0006458975,40.7353570653,0.896809306142,6
88,G137531,9/3/2015,61,CHRISTOPHER STREET,MANHATTAN,10014,GROVE STREET / 7 AVENUE SOUTH,,102,2,6,3,False,983623,206645,No,No,No,False,-74.0022623948,40.7338693884,0.896809306142,6
89,G137532,9/3/2015,133,7 AVENUE SOUTH,MANHATTAN,10014,WEST   10 STREET / CHARLES STREET,,102,2,6,3,False,983694,206892,No,No,No,False,-74.002006227,40.7345473473,0.896809306142,6
90,G137536,9/4/2015,266,EAST GUN HILL ROAD,BRONX,10467,KINGS COLLEGE PLACE / PUTNAM PLACE,,207,7,52,11,False,1018599,259719,Yes,No,No,False,-73.8757875418,40.8794760108,1.25332256262,14
91,G137537,9/4/2015,360,EAST GUNHILL ROAD,BRONX,10467,DECATUR AVENUE / WEBSTER AVENUE,,207,7,52,11,False,1019552,259350,Yes,No,No,False,-73.8723432636,40.8784594608,1.25332256262,14
92,G137538,9/4/2015,361,GUNHILL ROAD,BRONX,10467,DECATUR AVENUE / WEBSTER AVENUE,,207,7,52,11,False,1019606,259532,Yes,No,No,False,-73.8721470321,40.8789587777,1.25332256262,14
93,G137540,9/4/2015,278,PENNYFIELD AVENUE,BRONX,10465,HATTING PLACE / CHAFFEE AVENUE,,210,10,45,13,False,1037494,236109,No,No,No,False,-73.807647321,40.8145799076,0.92610264561,16
94,G137541,9/4/2015,557,GRAND CONCOURSE,BRONX,10451,EAST  149 STREET / EAST  150 STREET,,204,4,44,8,False,1004342,237704,No,No,No,False,-73.9274094809,40.819095338,1.10818738071,17
95,G137543,9/4/2015,941,61 STREET,BROOKLYN,11219,9 AVENUE / FT HAMILTON PARKWAY,,312,12,66,38,False,982372,169947,Yes,No,No,False,-74.0067661314,40.6331415808,1.1011969247,10
96,G137546,9/4/2015,429,61 STREET,BROOKLYN,11220,4 AVENUE / 5 AVENUE,,307,7,72,38,False,979277,172400,No,No,No,False,-74.0179187254,40.6398733463,1.2659719592,10
97,G137551,9/4/2015,21-23,49 AVENUE,QUEENS,11101,21 STREET / FLUSHING LINE,,402,2,108,26,False,998524,209803,Yes,No,No,False,-73.948488643,40.7425258188,1.33487788273,8
98,G137553,9/4/2015,1170,39 STREET,BROOKLYN,11218,FT HAMILTON PARKWAY / 12 AVENUE,,312,12,66,39,False,987319,173146,No,No,No,False,-73.9889414325,40.6419218208,1.14080950875,0
99,G137555,9/4/2015,71-20,MYRTLE AVENUE,QUEENS,11385,71 STREET / 71 PLACE,,405,5,104,30,False,1017720,195006,No,No,No,False,-73.8792886454,40.7018598528,1.20172633969,12
100,G137556,9/4/2015,109-12,FARMERS BOULEVARD,QUEENS,11412,109 AVENUE / 109 ROAD,,412,12,113,27,False,1048864,195708,Yes,No,No,False,-73.7669598016,40.703614068,1.09220919555,9
101,G137557,9/4/2015,75-41,61 STREET,QUEENS,11385,75 AVENUE / ST FELIX AVENUE,,405,5,104,30,False,1013801,193410,No,No,No,False,-73.8934297175,40.6974931641,1.20172633969,12
102,G137564,9/5/2015,540,WEST  188 STREET,MANHATTAN,10040,AMSTERDAM AVENUE / AUDUBON AVENUE,,112,12,34,10,False,1003889,249982,No,No,No,False,-73.9290101776,40.8527959038,0.838222627207,17
103,G137565,9/5/2015,3552,JOHNSON AVENUE,BRONX,10463,WEST 235 STREET / WEST 236 STREET,,208,8,50,11,False,1009286,262167,No,No,No,False,-73.9094559265,40.8862263356,0.944410982777,5
104,G137568,9/5/2015,248,STRATFORD ROAD,BROOKLYN,11218,LEWIS PLACE / MATTHEWS COURT,,314,14,70,40,False,992918,173395,No,No,No,False,-73.9687661644,40.6426015624,1.14080950875,0
105,G137569,9/6/2015,590,NOSTRAND AVENUE,BROOKLYN,11216,ATLANTIC AVENUE / PACIFIC STREET,,308,8,77,36,False,998125,186399,No,No,No,False,-73.9499767668,40.6782880434,1.27096514207,21
106,G137570,9/6/2015,89-00,23 AVENUE,QUEENS,11369,89 STREET / 90 STREET,,403,3,115,22,False,1017534,218834,No,No,No,False,-73.8798415826,40.7672624795,0.939084921056,25
107,G137572,9/6/2015,106,FORSYTH STREET,MANHATTAN,10002,GRAND STREET / BROOME STREET,Paint Gray ; ,103,3,5,1,False,986318,201027,No,No,No,False,-73.9925397927,40.7184491251,1.19906330883,6
108,G137573,9/6/2015,1367,65 STREET,BROOKLYN,11219,13 AVENUE / 14 AVENUE,,310,10,68,38,False,984373,167030,Yes,No,No,False,-73.999556904,40.625135229,1.1011969247,3
109,G137589,9/8/2015,481,8 AVENUE,MANHATTAN,10001,WEST   34 STREET / WEST   35 STREET,,104,4,14,3,False,986011,213514,No,No,No,False,-73.9936440115,40.752722925,1.09354071098,6
110,G137590,9/8/2015,23,AVENUE A,MANHATTAN,10009,EAST    1 STREET / EAST    2 STREET,,103,3,9,2,False,988109,202672,No,No,No,False,-73.9860779062,40.7229636534,0.964050835375,6
111,G137592,9/8/2015,1600,CATON AVENUE,BROOKLYN,11226,BUCKINGHAM ROAD / PARADE PLACE,,314,14,70,40,False,994024,176251,No,No,No,False,-73.9647767218,40.6504395133,1.50764200981,0
112,G137597,9/8/2015,160,WEST  124 STREET,MANHATTAN,10027,LENOX AVENUE / ADAM CLAYTON POWELL JR BOULEVARD,,110,10,28,9,False,998554,233597,Yes,No,No,False,-73.9483297309,40.8078340395,1.08954616468,13
113,G137599,9/8/2015,1401,AVENUE Z,BROOKLYN,11235,EAST   14 STREET / EAST   15 STREET,,315,15,61,48,False,996725,153526,No,No,No,False,-73.9550849239,40.5880607324,1.1254970813,11
114,G137600,9/8/2015,1616,VOORHIES AVENUE,BROOKLYN,11235,EAST   16 STREET / SHEEPSHEAD BAY ROAD,,315,15,61,48,False,997485,152645,Yes,No,No,False,-73.9523503406,40.585641461,1.1254970813,11
115,G137602,9/8/2015,4309,8 AVENUE,BROOKLYN,11232,43 STREET / 44 STREET,,307,12,66,38,False,984356,174141,Yes,No,No,False,-73.9996180332,40.6446534129,0.999335994279,10
116,G137603,9/8/2015,4313,8 AVENUE,BROOKLYN,11232,43 STREET / 44 STREET,,307,12,66,38,False,984333,174113,Yes,No,No,False,-73.9997009131,40.6445765592,0.999335994279,10
117,G137604,9/8/2015,4407,8 AVENUE,BROOKLYN,11220,44 STREET / 45 STREET,,307,12,66,38,False,984187,173950,Yes,No,No,False,-74.0002270162,40.6441291595,1.2659719592,10
118,G137607,9/8/2015,5811,8 AVENUE,BROOKLYN,11220,58 STREET / 59 STREET,,307,12,66,38,False,981912,171077,No,No,No,False,-74.0084238288,40.6362430813,1.2659719592,10
119,G137775,9/14/2015,140,BEADEL STREET,BROOKLYN,11222,VANDERVOORT AVENUE / PORTER AVENUE,Paint Gray ; Powerwash; ,301,1,94,34,False,1002177,202355,No,No,No,False,-73.9353257127,40.7220762423,0.936089011338,8
120,G138017,9/24/2015,306,WHITE PLAINS ROAD,BRONX,10473,O'BRIEN AVENUE / PATTERSON AVENUE,Powerwash; ,209,9,43,18,False,1024220,235069,Yes,No,No,False,-73.855607914,40.8117954322,0.970042654811,20
121,G138034,9/25/2015,133-27,SANFORD AVENUE,QUEENS,11355,FRAME PLACE / MAIN STREET,Paint Black ; ,407,7,109,20,False,1031314,214942,Yes,No,No,False,-73.8301218218,40.7565173386,1.07489949495,7
122,G138035,9/25/2015,133-27,SANFORD AVENUE,QUEENS,11355,FRAME PLACE / MAIN STREET,Paint Black ; ,407,7,109,20,False,1031314,214942,No,No,No,False,-73.8301218218,40.7565173386,1.07489949495,7
123,G138158,10/2/2015,137,34 STREET,BROOKLYN,11232,3 AVENUE / 4 AVENUE,,307,7,72,38,False,982977,178462,Yes,No,No,False,-74.0045880207,40.6565135281,0.999335994279,10
124,G138177,10/4/2015,40-04,BOWNE STREET,QUEENS,11354,ROOSEVELT AVENUE / LIRR PORT WASHINGTON LINE,Paint No preference ; Powerwash; ,407,7,109,20,False,1032831,216427,No,No,No,False,-73.8246354725,40.7605850707,1.09354071098,7
125,G138217,10/5/2015,1174,CONEY ISLAND AVENUE,BROOKLYN,11230,AVENUE H / LONG ISLAND RR,,314,14,70,45,False,993601,168411,No,No,No,False,-73.9663119834,40.6289208492,1.25365544147,3
126,G138218,10/5/2015,1656,ST NICHOLAS AVENUE,MANHATTAN,10040,WADSWORTH AVENUE / FT GEORGE AVENUE,"Paint No preference PAINT COLOR OF ROOF SILVER, HALLWAY IS GREEN OIL BASE; ",112,12,34,10,False,1004145,251325,No,No,No,False,-73.9280808196,40.8564814641,0.838222627207,17
127,G138219,10/5/2015,6014,18 AVENUE,BROOKLYN,11204,60 STREET / 61 STREET,,312,12,66,44,False,987658,165815,No,No,No,False,-73.9877236115,40.6217996535,1.13448481046,3
128,G138222,10/5/2015,5924,20 AVENUE,BROOKLYN,11204,59 STREET / 60 STREET,,312,12,66,44,False,988962,165030,Yes,No,No,False,-73.9830268559,40.6196443945,1.13448481046,3
129,G138230,10/5/2015,1336,CONEY ISLAND AVENUE,BROOKLYN,11230,AVENUE I / AVENUE J,,314,12,66,44,False,993800,167010,Yes,No,No,False,-73.9655970461,40.6250751866,1.25365544147,3
130,G138231,10/5/2015,6018,18 AVENUE,BROOKLYN,11204,60 STREET / 61 STREET,,312,12,66,44,False,987600,165791,Yes,No,No,False,-73.9879325525,40.6217338006,1.13448481046,3
